V8,V9,demAgeFull,demGender,demEduFull,demHisp,demRace,demPidNoLn,demPidLean,demPidClos,demCitizen,demRVoter,demRVoter2,demState,demZIP,nr1,nr1a,nr2,nr3,v16g5,v16g5a,demLL1,demCell,demCellP,demOwnHeal,demInsured,demInsType,demFluShot,demBinge,demSmoke,timQ45_4,demUnion,demUnionPP,demMarital,demInc,demInc2,invest,timQ51_1,timQ51_2,timQ51_3,timQ51_4,demOwn,demMove,demHHsize,timQ55_1,timQ55_2,timQ55_3,timQ55_4,demRelig,demEvang,demAttend,demReligImp,timQ62_1,timQ62_2,timQ62_3,timQ62_4,timQ64_1,timQ64_2,timQ64_3,timQ64_4,demMilHH1,demMilHH2,demUsr,demEmploy,Q156,demSmallb,industry,demCollar,timQ438_1,timQ438_2,timQ438_3,timQ438_4,demPolIdeo,Q450,demTea,Q689,Q95,timQ694_1,BF2,BF2_TEXT,BF3_4,BF3_5,BF3_6,BF3_7,BF3_7_TEXT,BF4,BF4_TEXT,wts,BF1_4NET,BF1_5NET,BF1_6NET,BF1_7NET,BF1_8NET,BF1_9NET,BF1_10NET,BF1_11NET,BF1_12NET,BF1_13NET,BF1_14NET,BF1_15NET,BF1_15_TEXTNET,BF3_4NET,BF3_5NET,BF3_6NET,BF3_7NET,BF3_7_TEXTNET,wts.1,v16g18,v16g18_ln
9/22/16 16:56,9/22/16 17:26,24,1,6,2,4,2,2,NA,1,1,1,39,476,2,2,4,1,3,NA,1,1,1,1,1,4,2,2,1,7,2,NA,2,4,NA,3,44.704,54.066,55.087,4,1,4,9,4.41,11.281,14.658,3,9,2,6,4,2.841,35.799,36.928,3,NA,NA,NA,NA,2,NA,2,1,1,2,3,2,9.729,9.729,11.225,1,1,1,2,NA,NA,4.699,NA,,NA,NA,NA,NA,,NA,,0.62317616,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.62317616,3,1
9/22/16 17:16,9/22/16 17:33,57,2,4,2,4,2,1,NA,1,1,1,10,1417,2,2,2,2,1,1,1,1,3,4,1,5,1,2,2,7,2,NA,4,1,NA,3,1.961,9.586,11.304,4,1,6,4,2.747,7.275,8.854,3,5,2,6,1,1.999,7.95,9.206,3,NA,NA,NA,NA,2,NA,1,6,NA,NA,NA,2,1.84,1.84,4.372,1,2,3,2,NA,NA,2.298,NA,,NA,NA,NA,NA,,NA,,0.635555534,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.635555534,1,NA
9/22/16 17:16,9/22/16 17:34,2,2,3,2,3,1,2,NA,1,1,1,47,820,1,2,1,1,2,2,2,1,1,2,1,2,2,4,2,6,2,NA,1,2,NA,1,2.671,14.355,17.082,5,1,4,9,4.209,12.053,14.467,4,2,1,2,1,14.108,38.037,39.129,5,NA,NA,NA,NA,2,NA,1,3,2,2,4,1,9.861,9.861,12.855,1,3,3,2,NA,NA,4.873,NA,,NA,NA,NA,NA,,NA,,2.160928469,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2.160928469,1,NA
9/22/16 17:28,9/22/16 17:38,5,1,6,1,4,1,2,NA,1,1,1,5,2494,1,2,2,2,3,NA,1,1,1,1,1,NA,2,2,2,2,2,NA,2,3,NA,2,2.607,8.878,9.75,6,1,2,6,1.804,4.684,6.893,3,12,2,6,3,5.732,9.18,9.877,3,NA,NA,NA,NA,2,NA,1,3,1,1,3,1,1.168,1.168,1.824,1,7,2,1,NA,NA,2.57,NA,,NA,NA,NA,NA,,NA,,0.923065579,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.923065579,1,NA
9/22/16 17:30,9/22/16 17:38,14,1,9,2,4,2,2,NA,1,1,1,47,803,1,1,2,7,1,2,1,1,2,1,1,4,2,5,1,6,2,NA,2,5,NA,2,1.536,10.844,11.516,6,1,5,13,1.689,6.037,7.552,3,2,2,2,1,1.329,6.04,6.714,4,NA,NA,NA,NA,2,NA,1,1,1,1,8,1,2.029,2.467,3.576,2,4,1,2,NA,NA,2.273,NA,,NA,NA,NA,NA,,NA,,0.715662437,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.715662437,2,NA
9/22/16 17:11,9/22/16 17:39,28,1,4,2,4,3,NA,3,1,1,1,48,4162,2,1,5,2,3,NA,2,1,1,3,2,NA,2,52,2,6,1,2,1,1,NA,3,3.202,19.824,21.581,5,2,5,4,2.683,8.451,11.452,3,11,2,6,4,7.486,26.418,27.38,5,NA,NA,NA,NA,1,1,1,1,2,1,3,2,5.387,5.387,7.979,1,5,3,1,NA,NA,4.754,NA,,NA,NA,NA,NA,,NA,,0.816810155,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.816810155,1,NA
9/22/16 17:13,9/22/16 17:40,50,2,7,2,4,3,NA,3,1,1,1,48,4157,2,2,4,4,3,NA,1,2,NA,2,1,5,2,2,1,6,2,NA,4,2,NA,3,2.643,15.948,17.205,4,2,4,4,4.077,12.677,15.475,3,12,2,6,3,3.896,17.471,18.797,3,NA,NA,NA,NA,2,NA,3,6,NA,NA,NA,1,7,7,8.476,1,2,1,2,NA,NA,6.309,NA,,NA,NA,NA,NA,,NA,,1.112130462,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1.112130462,3,NA
9/22/16 17:22,9/22/16 17:41,8,1,3,2,4,3,NA,3,1,1,1,48,4144,2,2,3,1,3,NA,2,2,NA,2,2,NA,2,2,2,5,2,NA,1,2,NA,3,2.037,11.669,12.745,4,2,1,6,1.889,12.033,13.751,4,2,1,3,3,4.574,18.824,19.479,4,NA,NA,NA,NA,2,NA,3,1,1,2,3,2,6.644,6.644,7.472,1,6,2,2,NA,NA,4.954,NA,,NA,NA,NA,NA,,NA,,2.081531494,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2.081531494,3,2
9/22/16 17:24,9/22/16 17:43,4,1,5,2,2,4,NA,3,1,1,1,29,3625,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,6,2,NA,1,6,4,2,1.548,18.813,19.555,5,1,1,6,3.976,7.64,10.93,3,11,2,5,3,3.445,11.092,11.895,3,NA,NA,NA,NA,2,NA,1,2,1,1,NA,3,6.733,6.733,7.442,1,2,3,2,NA,NA,2.515,NA,,NA,NA,NA,NA,,NA,,0.543628207,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.543628207,3,1
9/22/16 17:34,9/22/16 17:43,11,1,9,2,1,1,2,NA,1,1,1,34,1016,1,1,2,1,1,3,1,1,1,3,1,1,1,4,2,13,2,NA,2,4,NA,4,1.672,6.692,7.268,4,2,3,6,1.261,4.884,7.98,3,2,2,4,2,4.367,15.582,16.909,6,NA,NA,NA,NA,2,NA,2,1,1,1,8,1,1.197,1.197,1.846,1,4,3,1,NA,NA,1.064,NA,,NA,NA,NA,NA,,NA,,0.421600958,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.421600958,3,2
9/22/16 17:23,9/22/16 17:44,16,1,5,1,4,1,2,NA,1,1,1,28,2853,2,1,2,2,3,NA,2,1,1,3,1,1,1,50,1,6,2,NA,2,4,NA,2,4.588,11.464,12.441,4,2,2,6,1.449,10.177,13.035,3,2,2,4,3,2.705,8.802,9.308,4,NA,NA,NA,NA,1,1,2,1,1,1,7,1,2.684,2.684,3.221,1,5,4,2,NA,NA,2.65,NA,,NA,NA,NA,NA,,NA,,0.814446678,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.814446678,2,NA
9/22/16 17:30,9/22/16 17:44,21,1,3,2,4,3,NA,3,1,1,1,22,NA,2,1,4,3,2,1,2,1,1,3,1,3,2,2,2,7,2,NA,2,2,NA,1,2.465,9.653,10.608,4,2,1,NA,16.522,17.674,19.423,2,12,2,6,4,4.394,9.978,11.157,3,NA,NA,NA,NA,2,NA,3,8,NA,NA,NA,3,2.444,2.444,3.752,1,8,2,2,NA,NA,2.089,NA,,NA,NA,NA,NA,,NA,,1.405675905,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1.405675905,3,2
9/22/16 17:27,9/22/16 17:47,2,1,5,2,4,4,NA,1,1,1,1,1,1684,2,2,2,7,1,2,2,1,1,3,1,4,1,2,2,6,2,NA,1,4,NA,3,2.108,19.315,21.492,4,3,1,4,4.584,9.056,11.515,3,10,2,4,4,4.374,18.99,20.268,7,NA,NA,NA,NA,2,NA,1,5,NA,NA,NA,1,12.111,12.111,13.643,1,3,5,2,NA,NA,8.02,NA,,NA,NA,NA,NA,,NA,,0.690859933,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,0.690859933,1,NA
9/22/16 17:37,9/22/16 17:49,28,2,3,1,4,2,1,NA,1,1,1,33,314,2,2,2,5,1,1,2,1,1,4,1,6,1,2,2,12,2,NA,2,1,NA,3,1.817,9.451,10.863,5,2,6,6,2.05,7.309,12.043,5,11,1,1,2,1.595,11.15,12.766,7,NA,NA,NA,NA,2,NA,3,7,NA,NA,NA,3,1.848,1.848,3.172,1,7,5,2,NA,NA,1.635,NA,,NA,NA,NA,NA,,NA,,1.262461122,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1.262461122,1,NA
